type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
gue,gue_80000_0013,80000013,mid,0.559302,0.197799,3.512177,0.131156,0.370101,0.238945,GUE,0.100503,minimal
gue,gue_80000_0013,80000013,strong,0.564413,0.159231,3.323075,0.182475,0.419095,0.236621,GUE,0.175879,minimal
gue,gue_80000_0014,80000014,raw,0.592752,0.223164,3.658411,0.045854,0.369535,0.323681,GUE,0.0,none
gue,gue_80000_0014,80000014,soft,0.575425,0.190893,3.502487,0.120791,0.392651,0.271859,GUE,0.105528,minimal
gue,gue_80000_0014,80000014,mid,0.575425,0.190893,3.502487,0.120791,0.392651,0.271859,GUE,0.105528,minimal
gue,gue_80000_0014,80000014,strong,0.580764,0.160823,3.301785,0.169472,0.456658,0.287186,GUE,0.165829,minimal
gue,gue_80000_0015,80000015,raw,0.587215,0.254317,3.714212,0.078894,0.308543,0.229648,GUE,0.0,none
gue,gue_80000_0015,80000015,soft,0.575086,0.213703,3.546022,0.09755,0.354837,0.257286,GUE,0.095477,minimal
gue,gue_80000_0015,80000015,mid,0.575086,0.213703,3.546022,0.09755,0.354837,0.257286,GUE,0.095477,minimal
gue,gue_80000_0015,80000015,strong,0.582979,0.16637,3.366672,0.151633,0.450503,0.298869,GUE,0.165829,minimal
gue,gue_80000_0016,80000016,raw,0.602511,0.218614,3.608391,0.072927,0.400126,0.327198,GUE,0.0,none
gue,gue_80000_0016,80000016,soft,0.598031,0.181268,3.359005,0.147802,0.460427,0.312626,GUE,0.080402,minimal
gue,gue_80000_0016,80000016,mid,0.598031,0.181268,3.359005,0.147802,0.460427,0.312626,GUE,0.080402,minimal
gue,gue_80000_0016,80000016,strong,0.603285,0.144947,3.255073,0.181595,0.500126,0.31853,GUE,0.135678,minimal
gue,gue_80000_0017,80000017,raw,0.617048,0.216334,3.612831,0.076319,0.396231,0.319912,GUE,0.0,none
gue,gue_80000_0017,80000017,soft,0.609305,0.179624,3.400133,0.12657,0.451193,0.324623,GUE,0.125628,minimal
gue,gue_80000_0017,80000017,mid,0.609305,0.179624,3.400133,0.12657,0.451193,0.324623,GUE,0.125628,minimal
gue,gue_80000_0017,80000017,strong,0.614633,0.147727,3.288572,0.167776,0.489259,0.321482,GUE,0.19598,minimal
gue,gue_80000_0018,80000018,raw,0.568768,0.234113,3.621913,0.107726,0.335741,0.228015,GUE,0.0,none
gue,gue_80000_0018,80000018,soft,0.562335,0.197024,3.357198,0.145289,0.383668,0.238379,GUE,0.090452,minimal
gue,gue_80000_0018,80000018,mid,0.562335,0.197024,3.357198,0.145289,0.383668,0.238379,GUE,0.090452,minimal
gue,gue_80000_0018,80000018,strong,0.562516,0.167545,3.346194,0.172425,0.417714,0.245289,GUE,0.135678,minimal
gue,gue_80000_0019,80000019,raw,0.603527,0.230654,3.681407,0.067337,0.382098,0.314761,GUE,0.0,none
gue,gue_80000_0019,80000019,soft,0.596837,0.196427,3.459748,0.107538,0.417399,0.309862,GUE,0.090452,minimal
gue,gue_80000_0019,80000019,mid,0.596837,0.196427,3.459748,0.107538,0.417399,0.309862,GUE,0.090452,minimal
gue,gue_80000_0019,80000019,strong,0.601537,0.169645,3.310971,0.151005,0.465327,0.314322,GUE,0.145729,minimal
gue,gue_80000_0020,80000020,raw,0.594437,0.243893,3.665392,0.048869,0.33995,0.29108,GUE,0.0,none
gue,gue_80000_0020,80000020,soft,0.582138,0.210334,3.548619,0.088128,0.380151,0.292023,GUE,0.100503,minimal
gue,gue_80000_0020,80000020,mid,0.582138,0.210334,3.548619,0.088128,0.380151,0.292023,GUE,0.100503,minimal
gue,gue_80000_0020,80000020,strong,0.588524,0.167923,3.371153,0.14152,0.442839,0.301319,GUE,0.165829,minimal
gue,gue_80000_0021,80000021,raw,0.60579,0.221844,3.606268,0.046294,0.390013,0.343719,GUE,0.0,none
gue,gue_80000_0021,80000021,soft,0.597006,0.191099,3.399195,0.129962,0.420163,0.290201,GUE,0.100503,minimal
gue,gue_80000_0021,80000021,mid,0.597006,0.191099,3.399195,0.129962,0.420163,0.290201,GUE,0.100503,minimal
gue,gue_80000_0021,80000021,strong,0.601937,0.162169,3.315583,0.16941,0.459108,0.289698,GUE,0.155779,minimal
gue,gue_80000_0022,80000022,raw,0.605524,0.23823,3.676539,0.048744,0.355465,0.306721,GUE,0.0,none
gue,gue_80000_0022,80000022,soft,0.592533,0.194272,3.440828,0.119661,0.408794,0.289133,GUE,0.110553,minimal
gue,gue_80000_0022,80000022,mid,0.592533,0.194272,3.440828,0.119661,0.408794,0.289133,GUE,0.110553,minimal
gue,gue_80000_0022,80000022,strong,0.602394,0.158848,3.272382,0.163191,0.483668,0.320477,GUE,0.190955,minimal
gue,gue_80000_0023,80000023,raw,0.615318,0.219503,3.614679,0.07054,0.397173,0.326633,GUE,0.0,none
gue,gue_80000_0023,80000023,soft,0.60095,0.180603,3.396063,0.129774,0.442399,0.312626,GUE,0.120603,minimal
gue,gue_80000_0023,80000023,mid,0.60095,0.180603,3.396063,0.129774,0.442399,0.312626,GUE,0.120603,minimal
gue,gue_80000_0023,80000023,strong,0.607671,0.153052,3.247639,0.159422,0.49598,0.336558,GUE,0.165829,minimal
gue,gue_80000_0024,80000024,raw,0.591897,0.230456,3.619425,0.045163,0.364008,0.318844,GUE,0.0,none
gue,gue_80000_0024,80000024,soft,0.588475,0.188884,3.402147,0.11941,0.428957,0.309548,GUE,0.085427,minimal
gue,gue_80000_0024,80000024,mid,0.588475,0.188884,3.402147,0.11941,0.428957,0.309548,GUE,0.085427,minimal
gue,gue_80000_0024,80000024,strong,0.591883,0.16097,3.363888,0.148869,0.451068,0.302198,GUE,0.130653,minimal
gue,gue_80000_0025,80000025,raw,0.597594,0.242003,3.672162,0.049058,0.356219,0.307161,GUE,0.0,none
gue,gue_80000_0025,80000025,soft,0.58254,0.197388,3.506743,0.111307,0.409359,0.298053,GUE,0.105528,minimal
gue,gue_80000_0025,80000025,mid,0.58254,0.197388,3.506743,0.111307,0.409359,0.298053,GUE,0.105528,minimal
gue,gue_80000_0025,80000025,strong,0.592914,0.15427,3.320572,0.161746,0.457475,0.295729,GUE,0.170854,minimal
gue,gue_80000_0026,80000026,raw,0.620488,0.241542,3.691032,0.07255,0.35402,0.28147,GUE,0.0,none
gue,gue_80000_0026,80000026,soft,0.610215,0.212528,3.469234,0.068781,0.397111,0.328329,GUE,0.095477,minimal
gue,gue_80000_0026,80000026,mid,0.610215,0.212528,3.469234,0.068781,0.397111,0.328329,GUE,0.095477,minimal
gue,gue_80000_0026,80000026,strong,0.61417,0.183697,3.503299,0.110239,0.441394,0.331156,GUE,0.145729,minimal
gue,gue_80000_0027,80000027,raw,0.604996,0.241709,3.671101,0.057538,0.365327,0.307789,GUE,0.0,none
gue,gue_80000_0027,80000027,soft,0.59504,0.203486,3.430531,0.11451,0.404962,0.290452,GUE,0.120603,minimal
gue,gue_80000_0027,80000027,mid,0.59504,0.203486,3.430531,0.11451,0.404962,0.290452,GUE,0.120603,minimal
gue,gue_80000_0027,80000027,strong,0.604456,0.154562,3.310699,0.1625,0.459548,0.297048,GUE,0.175879,minimal
gue,gue_80000_0028,80000028,raw,0.614734,0.219217,3.583246,0.067211,0.401696,0.334485,GUE,0.0,none
gue,gue_80000_0028,80000028,soft,0.597927,0.185552,3.382383,0.107412,0.441897,0.334485,GUE,0.105528,minimal
gue,gue_80000_0028,80000028,mid,0.597927,0.185552,3.382383,0.107412,0.441897,0.334485,GUE,0.105528,minimal
gue,gue_80000_0028,80000028,strong,0.603367,0.160988,3.353295,0.140704,0.463317,0.322613,GUE,0.165829,minimal
gue,gue_80000_0029,80000029,raw,0.624431,0.224817,3.618527,0.069724,0.396545,0.326822,GUE,0.0,none
gue,gue_80000_0029,80000029,soft,0.617795,0.190832,3.481328,0.099623,0.427324,0.327701,GUE,0.120603,minimal
gue,gue_80000_0029,80000029,mid,0.617795,0.190832,3.481328,0.099623,0.427324,0.327701,GUE,0.120603,minimal
gue,gue_80000_0029,80000029,strong,0.621748,0.158032,3.351128,0.149497,0.477952,0.328455,GUE,0.18593,minimal
gue,gue_80000_0030,80000030,raw,0.645613,0.216042,3.592121,0.12255,0.417588,0.295038,GUE,0.0,none
gue,gue_80000_0030,80000030,soft,0.636199,0.185915,3.402992,0.142651,0.464259,0.321608,GUE,0.110553,minimal
gue,gue_80000_0030,80000030,mid,0.636199,0.185915,3.402992,0.142651,0.464259,0.321608,GUE,0.110553,minimal
gue,gue_80000_0030,80000030,strong,0.642907,0.153011,3.262243,0.182224,0.509799,0.327575,GUE,0.145729,minimal
gue,gue_80000_0031,80000031,raw,0.610805,0.240588,3.696986,0.065829,0.360553,0.294724,GUE,0.0,none
gue,gue_80000_0031,80000031,soft,0.599111,0.204862,3.417944,0.102324,0.394472,0.292148,GUE,0.110553,minimal
gue,gue_80000_0031,80000031,mid,0.599111,0.204862,3.417944,0.102324,0.394472,0.292148,GUE,0.110553,minimal
gue,gue_80000_0031,80000031,strong,0.607327,0.16817,3.348704,0.15044,0.436244,0.285804,GUE,0.160804,minimal
gue,gue_80000_0032,80000032,raw,0.560744,0.227831,3.658326,0.073492,0.305967,0.232475,GUE,0.0,none
gue,gue_80000_0032,80000032,soft,0.541602,0.179936,3.362754,0.182977,0.351193,0.168216,GUE,0.120603,minimal
gue,gue_80000_0032,80000032,mid,0.541602,0.179936,3.362754,0.182977,0.351193,0.168216,GUE,0.120603,minimal
gue,gue_80000_0032,80000032,strong,0.549123,0.142522,3.193204,0.235113,0.421859,0.186746,GUE,0.175879,minimal
gue,gue_80000_0033,80000033,raw,0.600562,0.222747,3.60054,0.044975,0.381344,0.336369,GUE,0.0,none
gue,gue_80000_0033,80000033,soft,0.592762,0.186081,3.432631,0.108794,0.429585,0.320791,GUE,0.085427,minimal
gue,gue_80000_0033,80000033,mid,0.592762,0.186081,3.432631,0.108794,0.429585,0.320791,GUE,0.085427,minimal
gue,gue_80000_0033,80000033,strong,0.595915,0.154791,3.297337,0.145163,0.458668,0.313505,GUE,0.145729,minimal
gue,gue_80000_0034,80000034,raw,0.591915,0.233244,3.632648,0.06853,0.376319,0.307789,GUE,0.0,none
gue,gue_80000_0034,80000034,soft,0.582218,0.197221,3.397447,0.108731,0.429774,0.321043,GUE,0.080402,minimal
gue,gue_80000_0034,80000034,mid,0.582218,0.197221,3.397447,0.108731,0.429774,0.321043,GUE,0.080402,minimal
gue,gue_80000_0034,80000034,strong,0.586208,0.163959,3.324173,0.12902,0.469472,0.340452,GUE,0.140704,minimal
gue,gue_80000_0035,80000035,raw,0.627715,0.229182,3.579279,0.08191,0.388945,0.307035,GUE,0.0,none
gue,gue_80000_0035,80000035,soft,0.604702,0.185943,3.425802,0.120854,0.417902,0.297048,GUE,0.130653,minimal
gue,gue_80000_0035,80000035,mid,0.604702,0.185943,3.425802,0.120854,0.417902,0.297048,GUE,0.130653,minimal
gue,gue_80000_0035,80000035,strong,0.612745,0.146315,3.288302,0.167714,0.489259,0.321545,GUE,0.190955,minimal
gue,gue_80000_0036,80000036,raw,0.6059,0.234078,3.664064,0.063379,0.350251,0.286872,GUE,0.0,none
gue,gue_80000_0036,80000036,soft,0.594012,0.198516,3.437921,0.099121,0.407412,0.308291,GUE,0.095477,minimal
gue,gue_80000_0036,80000036,mid,0.594012,0.198516,3.437921,0.099121,0.407412,0.308291,GUE,0.095477,minimal
gue,gue_80000_0036,80000036,strong,0.602418,0.164214,3.370726,0.140327,0.476005,0.335678,GUE,0.145729,minimal
gue,gue_80000_0037,80000037,raw,0.592543,0.227736,3.625391,0.051696,0.356093,0.304397,GUE,0.0,none
gue,gue_80000_0037,80000037,soft,0.578348,0.186828,3.41044,0.142148,0.406784,0.264636,GUE,0.095477,minimal
gue,gue_80000_0037,80000037,mid,0.578348,0.186828,3.41044,0.142148,0.406784,0.264636,GUE,0.095477,minimal
gue,gue_80000_0037,80000037,strong,0.585275,0.156292,3.313525,0.156784,0.498869,0.342085,GUE,0.170854,minimal
gue,gue_80000_0038,80000038,raw,0.626624,0.222642,3.637833,0.081595,0.405276,0.323681,GUE,0.0,none
gue,gue_80000_0038,80000038,soft,0.612104,0.18095,3.409682,0.121796,0.445477,0.323681,GUE,0.115578,minimal
gue,gue_80000_0038,80000038,mid,0.612104,0.18095,3.409682,0.121796,0.445477,0.323681,GUE,0.115578,minimal
gue,gue_80000_0038,80000038,strong,0.617504,0.14634,3.215221,0.175628,0.500377,0.324749,GUE,0.201005,minimal
gue,gue_80000_0039,80000039,raw,0.598208,0.225432,3.654185,0.040452,0.363756,0.323304,GUE,0.0,none
gue,gue_80000_0039,80000039,soft,0.591021,0.183679,3.420978,0.120854,0.427952,0.307098,GUE,0.105528,minimal
gue,gue_80000_0039,80000039,mid,0.591021,0.183679,3.420978,0.120854,0.427952,0.307098,GUE,0.105528,minimal
gue,gue_80000_0039,80000039,strong,0.600728,0.150678,3.303566,0.15603,0.484987,0.328957,GUE,0.150754,minimal
gue,gue_80000_0040,80000040,raw,0.661553,0.217919,3.574261,0.147362,0.444347,0.296985,GUE,0.0,none
gue,gue_80000_0040,80000040,soft,0.652121,0.193862,3.356855,0.174183,0.478706,0.304523,GUE,0.090452,minimal
gue,gue_80000_0040,80000040,mid,0.652121,0.193862,3.356855,0.174183,0.478706,0.304523,GUE,0.090452,minimal
gue,gue_80000_0040,80000040,strong,0.6563,0.165742,3.347868,0.21407,0.519724,0.305653,GUE,0.135678,minimal
gue,gue_80000_0041,80000041,raw,0.605124,0.226594,3.590996,0.043844,0.373241,0.329397,GUE,0.0,none
gue,gue_80000_0041,80000041,soft,0.582751,0.183874,3.425706,0.139196,0.419221,0.280025,GUE,0.120603,minimal
gue,gue_80000_0041,80000041,mid,0.582751,0.183874,3.425706,0.139196,0.419221,0.280025,GUE,0.120603,minimal
gue,gue_80000_0041,80000041,strong,0.589245,0.155807,3.354663,0.14843,0.464322,0.315892,GUE,0.145729,minimal
gue,gue_80000_0042,80000042,raw,0.573188,0.229511,3.686111,0.066206,0.334548,0.268342,GUE,0.0,none
gue,gue_80000_0042,80000042,soft,0.556028,0.173988,3.393696,0.198618,0.391332,0.192714,GUE,0.145729,minimal
gue,gue_80000_0042,80000042,mid,0.556028,0.173988,3.393696,0.198618,0.391332,0.192714,GUE,0.145729,minimal
gue,gue_80000_0042,80000042,strong,0.559072,0.140102,3.20957,0.235992,0.442399,0.206407,GUE,0.18593,minimal
gue,gue_80000_0043,80000043,raw,0.63559,0.225874,3.614952,0.083291,0.402701,0.31941,GUE,0.0,none
